Temperature [°C],Mole fraction of liquid,Mole percent of Ag in FCC_A1,Mole percent of Ag in HCP_A3,Molar volume of LIQUID,Mole percent of Ag in LIQUID,Temperature [K],Temp (cels),Solid comp. (at% Ag),Mole frac. Liquid,Liquid comp. (at% Ag),k,V_m liq.,V frac liq,V_m FCC,V frac sol,VmL-VmS,delta V norm by VL
619.099,0.614825239,5.150142808,,1.11988E-05,13.4594224,892.249,619.099,5.174202015,0.609755025,13.52836558,0.382470594,1.11981E-05,0.611852165,1.05167E-05,0.386995246,6.81421E-07,0.060851614
618.999,0.612281616,5.162169338,,1.11984E-05,13.49389198,892.149,618.999,5.186240909,0.607245307,13.56284322,0.382385966,1.11977E-05,0.609353593,1.05165E-05,0.389488682,6.81182E-07,0.060832266
618.899,0.609755025,5.174202015,,1.11981E-05,13.52836558,892.049,618.899,5.198286092,0.604752304,13.59732488,0.382302117,1.11973E-05,0.606871622,1.05164E-05,0.391965601,6.80943E-07,0.060812931
618.799,0.607245307,5.186240909,,1.11977E-05,13.56284322,891.949,618.799,5.210337632,0.602275861,13.63181056,0.382219046,1.1197E-05,0.6044061,1.05163E-05,0.394426155,6.80705E-07,0.060793611
618.699,0.604752304,5.198286092,,1.11973E-05,13.59732488,891.849,618.699,5.222395602,0.599815825,13.66630026,0.382136753,1.11966E-05,0.601956872,1.05162E-05,0.396870498,6.80467E-07,0.060774304
618.599,0.602275861,5.210337632,,1.1197E-05,13.63181056,891.749,618.599,5.234460071,0.597372042,13.70079398,0.382055236,1.11963E-05,0.599523789,1.0516E-05,0.399298779,6.80229E-07,0.060755011
618.499,0.599815825,5.222395602,,1.11966E-05,13.66630026,891.649,618.499,5.246531112,0.594944364,13.73529171,0.381974495,1.11959E-05,0.597106701,1.05159E-05,0.401711146,6.79991E-07,0.060735731
618.399,0.597372042,5.234460071,,1.11963E-05,13.70079398,891.549,618.399,5.258608796,0.592532641,13.76979346,0.38189453,1.11955E-05,0.594705461,1.05158E-05,0.404107746,6.79753E-07,0.060716465
618.299,0.594944364,5.246531112,,1.11959E-05,13.73529171,891.449,618.299,5.270693195,0.590136727,13.80429921,0.38181534,1.11952E-05,0.592319924,1.05157E-05,0.406488725,6.79516E-07,0.060697213
618.199,0.592532641,5.258608796,,1.11955E-05,13.76979346,891.349,618.199,5.282784379,0.587756477,13.83880897,0.381736925,1.11948E-05,0.589949945,1.05155E-05,0.408854224,6.79278E-07,0.060677974
618.099,0.590136727,5.270693195,,1.11952E-05,13.80429921,891.249,618.099,5.294882423,0.585391748,13.87332273,0.381659284,1.11944E-05,0.587595382,1.05154E-05,0.411204387,6.79041E-07,0.06065875
617.999,0.587756477,5.282784379,,1.11948E-05,13.83880897,891.149,617.999,5.306987398,0.583042397,13.9078405,0.381582417,1.11941E-05,0.585256095,1.05153E-05,0.413539352,6.78804E-07,0.060639539
617.899,0.585391748,5.294882423,,1.11944E-05,13.87332273,891.049,617.899,5.319099376,0.580708286,13.94236228,0.381506324,1.11937E-05,0.582931945,1.05152E-05,0.415859258,6.78567E-07,0.060620342
617.799,0.583042397,5.306987398,,1.11941E-05,13.9078405,890.949,617.799,5.331218432,0.578389275,13.97688805,0.381431003,1.11934E-05,0.580622794,1.0515E-05,0.418164242,6.78331E-07,0.060601158
617.699,0.580708286,5.319099376,,1.11937E-05,13.94236228,890.849,617.699,5.343344637,0.576085228,14.01141782,0.381356455,1.1193E-05,0.578328507,1.05149E-05,0.42045444,6.78094E-07,0.060581989
617.599,0.578389275,5.331218432,,1.11934E-05,13.97688805,890.749,617.599,5.355478066,0.573796009,14.0459516,0.38128268,1.11926E-05,0.576048948,1.05148E-05,0.422729984,6.77858E-07,0.060562833
617.499,0.576085228,5.343344637,,1.1193E-05,14.01141782,890.649,617.499,5.367618793,0.571521484,14.08048937,0.381209676,1.11923E-05,0.573783987,1.05147E-05,0.424991007,6.77622E-07,0.060543692
617.399,0.573796009,5.355478066,,1.11926E-05,14.0459516,890.549,617.399,5.37976689,0.569261522,14.11503115,0.381137444,1.11919E-05,0.57153349,1.05145E-05,0.42723764,6.77386E-07,0.060524564
